GameTools,Save,88,备份失败: ,[System.Object，System.String，System.String，System.Boolean]
GameTools,Load,51,[Load] 解析文件失败: ,[System.String]
GameTools,ConvertNumberToChineseDate,101,一十,[System.Int32]
GameTools,ConvertNumberToChineseDate,106,十,[System.Int32]
GameTools,.cctor,155,零,[]
GameTools,.cctor,163,一,[]
GameTools,.cctor,171,二,[]
GameTools,.cctor,179,三,[]
GameTools,.cctor,187,四,[]
GameTools,.cctor,195,五,[]
GameTools,.cctor,203,六,[]
GameTools,.cctor,211,七,[]
GameTools,.cctor,219,八,[]
GameTools,.cctor,228,九,[]
GameTools,.cctor,255,十,[]
GameTools,.cctor,263,百,[]
GameTools,.cctor,271,千,[]
GameTools,.cctor,279,万,[]
GameTools,.cctor,287,亿,[]
GameTools,.cctor,295,万亿,[]
GameTools,.cctor,303,亿亿,[]
GameTools,.cctor,331,一,[]
GameTools,.cctor,339,二,[]
GameTools,.cctor,347,三,[]
GameTools,.cctor,355,四,[]
GameTools,.cctor,363,五,[]
GameTools,.cctor,371,六,[]
GameTools,.cctor,379,七,[]
GameTools,.cctor,387,八,[]
GameTools,.cctor,396,九,[]
CharacterObj,OnDamage,240,对方,[System.Single，System.Boolean，System.Boolean，System.Boolean]
CharacterObj,OnDamage,247,我方,[System.Single，System.Boolean，System.Boolean，System.Boolean]
CharacterObj,OnDamage,252,受到<color=#ff0000>,[System.Single，System.Boolean，System.Boolean，System.Boolean]
CharacterObj,OnDamage,264,</color>点伤害,[System.Single，System.Boolean，System.Boolean，System.Boolean]
CharacterObj,AddHp,54,对方,[System.Single]
CharacterObj,AddHp,61,我方,[System.Single]
CharacterObj,AddHp,66,恢复 <color=#00ff00>,[System.Single]
CharacterObj,AddHp,81,</color>点气血,[System.Single]
ModManager/<LoadAudioFromDisk>d__19,MoveNext,270,加载音频失败: ,[]
ModManager,Clear,113,UnApply 失败: {0}\n{1},[]
ModManager,InitSingleMod,115,耗时: ,[ModInfo]
ModManager,InitSingleMod,160,Mod 资源扫描完成: {0}，Sprite: {1} 条，Audio: {2} 条,[ModInfo]
DOTweenDebugHook/<>c,<Awake>b__0_0,64,正在运行的Tween目标: ,[UnityEngine.LogType，System.Object]
UgcManager/<>c__DisplayClass12_0,<UploadNewMod>b__0,57,CreateItem 失败: {0},[Steamworks.CreateItemResult_t，System.Boolean]
UgcManager/<>c__DisplayClass15_0,<SubmitUpdate>b__0,73,SubmitItemUpdate 失败: {0},[Steamworks.SubmitItemUpdateResult_t，System.Boolean]
HeroCard,InitHeroInfo,286,功力,[ExHero]
GroupItem,Init,209,\n\n解锁方式：\n,[System.String，System.Boolean]
GroupItem,Init,409,\n\n解锁方式：\n,[System.String，System.Boolean]
HeroAtlasMenu/<LoadHeroItemsCoroutine>d__33,MoveNext,276,获取方式,[]
lockedHeroItem,Init,147,获取方式,[System.String]
LogItem,Init,68,主角,[System.String，System.String]
DialogMenu,Init,335,主角,[System.String，System.String]
DialogMenu,Init,961,主角,[System.String，System.String]
MainMenu,InitSkills,450,技艺值\n技艺条目可拖动,[]
MainMenu,InitSkills,478,技艺值\n技艺条目可拖动,[]
MainMenu,InitSkills,483,暂无,[]
MainMenu,DebugCondition,163,开关：,[System.String]
MainMenu,DebugCondition,295,属性：,[System.String]
MainMenu,DebugCondition,389,门派：,[System.String]
MainMenu,DebugCondition,492,指定时间：,[System.String]
MainMenu,DebugCondition,569,每月：,[System.String]
MainMenu,DebugCondition,597,每个,[System.String]
MainMenu,DebugCondition,623,月,[System.String]
MainMenu,DebugCondition,688,每季度：,[System.String]
MainMenu,DebugCondition,716, 第,[System.String]
MainMenu,DebugCondition,742,季度,[System.String]
MainMenu,DebugCondition,826,技能：,[System.String]
MainMenu,DebugCondition,835,没有,[System.String]
MainMenu,DebugCondition,842,有,[System.String]
MainMenu,DebugCondition,937,侠客：,[System.String]
MainMenu,DebugCondition,946,没有,[System.String]
MainMenu,DebugCondition,953,有,[System.String]
MainMenu,DebugCondition,1020,前置事件：,[System.String]
MainMenu,DebugCondition,1083,互斥事件：,[System.String]
MainMenu,DebugCondition,1146,条件嵌套：,[System.String]
MainMenu,DebugCondition,1220,条件：\n,[System.String]
MainMenu,DebugCondition,1235,条件：无\n,[System.String]
MainMenu,ShowEvent,458,无事发生,[System.String]
MainMenu,ShowDice,22,无事发生,[System.String]
ModInfoPage/<UpdateProgressCoroutine>d__29,MoveNext,259,计算中...,[]
ModInfoPage,StartUpload,13,开始上传...,[]
RecordItem,Init,387,{0}年{1}月{2}日 {3}:{4:D2},[RecordHeader，System.Int32，System.Action`2<System.Boolean，System.Int32>，System.Action`1<System.Int32>]
SettingPanel,Init,230,请返回标题设置语言,[]
